;Instancia;Modularidad1;Time1;Best1;Dev1;Modularidad2;Time2;Best2;Dev2;Modularidad3;Time3;Best3;Dev3;Modularidad4;Time4;Best4;Dev4;Modularidad5;Time5;Best5;Dev5;Modularidad6;Time6;Best6;Dev6;Modularidad7;Time7;Best7;Dev7
0;graph0.gml;0.543542956;38.0519135;0;0.125991689;0.621896781;39.31996369;1;0;0.481948469;40.05005765;0;0.22503463;0.5;39.20081019;0;0.196008059;0.543366748;39.4395225;0;0.138266162;0.630550552;40.69443583;1;0;0.547086694;39.27119517;0;0.13236664
1;graph1.gml;0.5;38.87980151;0;0.280498112;0.579665596;39.31215262;0;0.165859018;0.497787611;38.90214276;0;0.283681749;0.694925209;39.11086297;1;0;0.473704626;39.19295692;0;0.165979404;0.567977132;39.25883007;1;0;0.5;39.51179433;0;0.119682868
2;graph2.gml;0.531314854;38.88892198;1;0;0.513098128;39.17834878;0;0.034286122;0.515310518;39.61137128;0;0.030122133;0.514379307;39.30194616;0;0.031874786;0.586400658;38.93026304;0;0.231828674;0.488761845;39.14817166;0;0.359733265;0.76337223;39.21434116;1;0
3;graph3.gml;0.577174211;39.42491889;1;0;0.505353542;39.67692709;0;0.124434994;0.515310518;39.33842015;0;0.107183745;0.5;39.50561428;0;0.133710428;0.520869635;39.32974172;0;0.073840296;0.5;39.58516812;0;0.110948651;0.562397212;39.61396456;1;0
4;graph4.gml;0.530268619;39.57882786;0;0.047846722;0.556915185;39.65436482;1;0;0.540273318;39.56811643;0;0.029882229;0.5;39.59833932;0;0.102197223;0.484337066;39.50813222;0;0.253292483;0.648630228;39.69517398;1;0;0.485471405;39.3885982;0;0.251543661
5;graph5.gml;0.513098128;39.65522313;0;0.203481558;0.5;39.69979334;0;0.223814707;0.644176081;39.69622302;1;0;0.488233221;39.64929247;0;0.242081108;0.513098128;39.57039833;0;0.089528905;0.563552353;39.79165053;1;0;0.502671264;39.47920513;0;0.108030937
6;graph6.gml;0.465933119;39.29783177;0;0.217479942;0.531314854;39.32012415;0;0.107673369;0.595426423;39.42819905;1;0;0.483906336;39.67277718;0;0.187294489;0.666035663;39.59813547;1;0;0.433647897;39.18732095;0;0.348911895;0.488761845;39.07071042;0;0.266162651
7;graph7.gml;0.501104971;39.44944978;0;0.138669443;0.502231968;39.38941121;0;0.13673229;0.489896184;39.28631949;0;0.157935807;0.581780092;39.58151507;1;0;0.5;39.18914938;0;0.109660409;0.536905787;39.23283267;0;0.043943042;0.561583474;39.05768371;1;0
8;graph8.gml;0.483808442;38.88640094;0;0.202251748;0.489896184;39.39853191;0;0.192213714;0.5;39.24573898;0;0.175553605;0.606467568;39.4571507;1;0;0.606214269;39.32563281;0;0.208269408;0.5;38.79751372;0;0.346987829;0.765682512;39.16419625;1;0
9;graph9.gml;0.517522907;39.44554281;0;0.132234661;0.596385778;39.19875717;1;0;0.5;39.45710015;0;0.161616493;0.532440628;39.29441214;0;0.107221119;0.632665048;39.21896768;1;0;0.466333258;39.39007282;0;0.262906558;0.526548673;39.23193645;0;0.167729158
10;graph10.gml;0.511061947;39.41269517;0;0.128476512;0.579665596;39.30884337;0;0.011485426;0.475311301;39.71325946;0;0.189442757;0.586400658;39.35359693;1;0;0.5;39.16126418;0;0.160981259;0.569042946;39.2568469;0;0.045124608;0.595934245;39.1913805;1;0
11;graph11.gml;0.624109171;39.5375061;1;0;0.483386277;39.2966032;0;0.225478009;0.504072363;39.3761735;0;0.19233303;0.48922072;39.33138299;0;0.216129576;0.602992355;39.21594095;1;0;0.497787611;39.29900122;0;0.174471108;0.5;39.32603574;0;0.17080209
12;graph12.gml;0.468145509;39.32686138;0;0.151159076;0.551511473;39.28869414;1;0;0.50331736;39.24324203;0;0.087385512;0.46719472;38.93116617;0;0.152883045;0.504424779;39.02957392;0;0.24467898;0.667828334;39.42423415;1;0;0.564657324;39.40627551;0;0.15448732
13;graph13.gml;0.543366748;39.62349463;0;0.235947864;0.598245751;39.25045514;0;0.158780058;0.549299084;39.29261184;0;0.227606143;0.71116449;38.98948026;1;0;0.635297155;39.27960825;1;0;0.5;40.24125648;0;0.212966726;0.486549456;39.35317087;0;0.234138778
14;graph14.gml;0.474958885;39.2837255;0;0.224109256;0.612146605;38.87943268;1;0;0.515310518;39.05557442;0;0.158191006;0.541330566;39.21824718;0;0.115684769;0.5;38.80745959;0;0.130650871;0.575142924;39.23947453;1;0;0.52805623;39.22174883;0;0.081869553
15;graph15.gml;0.5;39.5538857;0;0.190118289;0.545891172;39.23363709;0;0.115785447;0.487683795;39.29657125;0;0.210067628;0.617374109;39.22597098;1;0;0.488761845;39.32533336;0;0.285129292;0.683706633;39.28045106;1;0;0.584090375;39.35722494;0;0.145700295
16;graph16.gml;0.544169473;39.05503726;0;0.057638842;0.577453207;39.12881804;1;0;0.495496907;39.40017772;0;0.141927172;0.577355314;39.18700361;0;0.000169526;0.591960999;39.21697474;1;0;0.464884437;39.21259832;0;0.214670498;0.476279221;39.56533861;0;0.195421283
17;graph17.gml;0.579489388;39.26007342;0;0.041980903;0.5;39.27809048;0;0.173393753;0.549299084;39.46965241;0;0.091891892;0.60488292;39.13418651;1;0;0.5;39.33118916;0;0.086068067;0.547086694;39.24748421;1;0;0.465228287;39.21061349;0;0.149626024
18;graph18.gml;0.486549456;38.95085335;0;0.284584091;0.515681289;39.55660152;0;0.241749028;0.553331065;39.34840941;0;0.186389292;0.680093146;39.04233146;1;0;0.50646096;38.8983891;0;0.197578902;0.590825437;39.15367508;0;0.063914432;0.631166056;39.48550367;1;0
19;graph19.gml;0.599851202;39.27211642;1;0;0.5;39.23839378;0;0.166459952;0.556738977;39.20366359;0;0.071871532;0.501507557;39.09248924;0;0.163946733;0.502036181;39.33523631;0;0.040918612;0.523455243;39.05850816;1;0;0.486549456;39.13370299;0;0.070504189
20;graph20.gml;0.539823009;39.12835002;0;0.03809447;0.488761845;39.16039729;0;0.129079876;0.517696668;39.11773992;0;0.077521188;0.56120169;39.22908211;1;0;0.526196257;39.54968286;1;0;0.513098128;39.16479707;0;0.024892097;0.513098128;39.46408749;0;0.024892097
21;graph21.gml;0.485471405;39.35600209;0;0.052541458;0.495222805;39.41577005;0;0.033510374;0.512393296;39.15972185;1;0;0.5;38.88180947;0;0.024187077;0.479383664;39.21875143;0;0.244523295;0.539118177;39.390697;0;0.150385683;0.6345446;39.27956033;1;0
22;graph22.gml;0.488761845;39.02262807;0;0.272927175;0.488233221;39.34723425;0;0.273713546;0.672232311;39.10216904;1;0;0.5;39.20721626;0;0.25620951;0.492481792;39.16382813;0;0.335076882;0.473098911;39.34825754;0;0.361246632;0.740659752;39.56317854;1;0
23;graph23.gml;0.591608583;39.38216925;1;0;0.573909468;39.18571377;0;0.029916934;0.484337066;39.07053781;0;0.181321773;0.550404055;39.40728927;0;0.069648294;0.578862871;39.07527518;1;0;0.513098128;39.18918371;0;0.113610228;0.545579137;38.86463618;0;0.057498478
24;graph24.gml;0.519030464;38.97390699;0;0.055104078;0.486549456;39.34439301;0;0.114235814;0.5;39.17870593;0;0.089749073;0.549299084;39.36986446;1;0;0.561339964;39.03868246;0;0.13041764;0.530268619;39.33178425;0;0.178550848;0.645528232;39.50120282;1;0
25;graph25.gml;0.532481009;39.31647277;0;0.176920982;0.646937896;39.18241715;1;0;0.46372073;39.17965746;0;0.283206731;0.487654427;39.09443045;0;0.246211376;0.493186624;39.24037337;0;0.088936309;0.515310518;39.42718077;0;0.048066838;0.541330566;39.38461828;1;0
26;graph26.gml;0.59923325;39.4027741;1;0;0.576650482;39.22870111;0;0.037686108;0.561339964;38.8972764;0;0.063236288;0.44770538;39.01440215;0;0.252869596;0.528368265;39.14604163;1;0;0.511061947;39.5139761;0;0.032754272;0.504424779;39.94566274;0;0.045315905
27;graph27.gml;0.474077845;39.39237976;0;0.225548519;0.612146605;39.28018665;1;0;0.5;39.16568327;0;0.1832022;0.572930535;39.52529907;0;0.0640632;0.5;39.31541348;0;0.204274942;0.5;39.2267077;0;0.204274942;0.628357741;39.37903976;1;0
28;graph28.gml;0.516386121;39.37295127;0;0.01483126;0.510885739;39.15224457;0;0.025324966;0.504424779;39.08171535;0;0.037651277;0.524160075;39.17378926;1;0;0.48956457;39.16485119;0;0.096001283;0.498892582;39.33876371;0;0.078776773;0.541554497;39.25978994;1;0
29;graph29.gml;0.46372073;39.2208662;0;0.077971908;0.475311301;39.14261699;0;0.054926072;0.502935576;39.21522117;1;0;0.5;39.49414754;0;0.005836884;0.5;39.29016161;0;0.123098582;0.570189521;39.32946348;1;0;0.502036181;39.3407135;0;0.119527521
30;graph30.gml;0.598245751;39.42816877;1;0;0.58328765;39.20307016;0;0.025003273;0.458414911;39.09161329;0;0.233734782;0.523082025;39.4602809;0;0.125640218;0.628433609;39.37279177;1;0;0.579665596;39.62731671;0;0.077602489;0.531314854;39.21911311;0;0.154540994
31;graph31.gml;0.576189159;39.11785293;1;0;0.515310518;39.05260777;0;0.105657388;0.531314854;39.36977339;0;0.077881203;0.560184823;39.19533205;0;0.027776185;0.567174407;39.20520401;0;0.039933055;0.513098128;39.01366901;0;0.131469004;0.590765477;39.17826796;1;0
32;graph32.gml;0.451249119;39.23749375;0;0.16097561;0.537825985;38.6571033;1;0;0.521242854;39.17057824;0;0.030833637;0.474958885;39.33467269;0;0.116891154;0.546381862;39.24887061;0;0.216787142;0.697616053;39.50464535;1;0;0.50406135;39.14927149;0;0.277451618
33;graph33.gml;0.497787611;38.88279843;0;0.008810573;0.5;39.04503703;0;0.004405286;0.502212389;39.32555437;1;0;0.484337066;39.14351273;0;0.035593154;0.596207123;41.38868451;1;0;0.493010416;37.33667231;0;0.173088685;0.506637168;37.18465757;0;0.15023295
34;graph34.gml;0.5;37.28025699;0;0.057081672;0.496906571;38.18039536;0;0.062915374;0.473098911;39.64724684;0;0.107812731;0.530268619;39.2742219;1;0;0.474958885;39.80208731;0;0.128314768;0.5;39.38155007;0;0.082357169;0.544874305;38.96210742;1;0
35;graph35.gml;0.5;38.794415;0;0.089749073;0.542288697;39.09771347;0;0.012762422;0.484337066;39.39730644;0;0.118263473;0.549299084;39.07218575;1;0;0.5;39.26703048;0;0.107437439;0.461508341;39.31291366;0;0.176149867;0.560184823;38.88703394;1;0
36;graph36.gml;0.514173731;39.34297013;0;0.085746301;0.530268619;39.07824945;0;0.057127937;0.562397212;38.80435014;1;0;0.497787611;39.02597857;0;0.114882507;0.618371398;39.363029;1;0;0.530268619;39.20395899;0;0.142475507;0.614953696;39.02860403;0;0.005526939
37;graph37.gml;0.549573185;39.16190052;0;0.01505316;0.488384956;39.12727213;0;0.124714902;0.557972433;39.39856386;1;0;0.5;39.00123692;0;0.103898382;0.5;39.15360284;0;0.025862069;0.504072363;39.22294879;0;0.017927983;0.513274336;39.07523751;1;0
38;graph38.gml;0.475311301;39.00948668;0;0.099885062;0.51786431;39.10460067;0;0.019300823;0.5;39.11543226;0;0.053131141;0.52805623;39.13509154;1;0;0.5;39.30480695;0;0.190246687;0.617472003;39.1421237;1;0;0.51859851;40.28933001;0;0.160126276
39;graph39.gml;0.546381862;39.01704979;0;0.045457655;0.504424779;39.15880084;0;0.118757696;0.514173731;39.23000836;0;0.10172604;0.572401911;38.96503639;1;0;0.497787611;39.3194685;0;0.007417529;0.5;39.1207726;0;0.003006051;0.501507557;39.39687276;1;0
40;graph40.gml;0.463916517;39.97285914;0;0.259392386;0.476995066;39.12445664;0;0.238513471;0.486549456;39.23579192;0;0.223260611;0.626399875;38.75184512;1;0;0.5;39.47040677;0;0.029711246;0.5;39.06516266;0;0.029711246;0.515310518;39.14767003;1;0
41;graph41.gml;0.537434411;38.88106322;0;0.06806796;0.576688415;39.10640788;1;0;0.5;39.39540529;0;0.132980676;0.528584854;39.28763318;0;0.083413435;0.660917065;39.25592852;1;0;0.645430339;39.15229583;0;0.023432177;0.5;39.25000501;0;0.243475427
42;graph42.gml;0.701914794;39.25460339;1;0;0.515310518;39.24198079;0;0.265850325;0.64638847;39.20120072;0;0.079106929;0.510885739;39.27701283;0;0.272154194;0.557041223;39.1172235;0;0.172803096;0.673408254;39.06700778;1;0;0.513098128;39.19276857;0;0.238057857
43;graph43.gml;0.490974234;39.14696956;0;0.271123383;0.5;39.40611339;0;0.257724168;0.673604041;39.25412846;1;0;0.530268619;39.20164585;0;0.212788839;0.573810351;39.37262893;1;0;0.530268619;39.05740952;0;0.075881747;0.5;39.25933576;0;0.128631962
44;graph44.gml;0.519735296;38.90822959;0;0.125280084;0.530268619;39.11981678;0;0.107552392;0.594173389;39.17779136;1;0;0.497787611;39.12556982;0;0.162218268;0.497787611;39.18017054;0;0.036822366;0.513098128;38.80386567;0;0.007197788;0.516818075;39.05864096;1;0
