,Instancia,Time1,Time2,Time3,Time4,NMI-1,Best1,Desv-1,NMI-2,Best2,Desv-2,NMI-3,Best3,Desv-3,NMI-4,Best4,Desv-4
0,graph0.gml,44.92506146430969,44.605141401290894,44.62983703613281,44.857900619506836,0.02294728948705195,1,0.0,0.02294728948705195,0,0.0,0.01,0,0.564218684492453,0.02294728948705195,0,0.0
1,graph1.gml,56.53683662414551,56.66270995140076,56.75324869155884,55.952457666397095,0.04653294991301629,1,0.0,0.01,0,0.7850985158109913,0.04653294991301629,0,0.0,0.02378118125449906,0,0.48893888526403223
2,graph2.gml,32.54531764984131,33.27625107765198,32.95110559463501,32.670507192611694,0.643470912420498,1,0.0,0.643470912420498,0,0.0,0.643470912420498,0,0.0,0.18098576837234764,0,0.718735120921711
3,graph3.gml,57.27521824836731,57.771153688430786,57.612953662872314,57.71740984916687,0.03268179324010695,1,0.0,0.03268179324010695,0,0.0,0.03268179324010695,0,0.0,0.01669954900431622,0,0.48902592701606695
4,graph4.gml,52.467140913009644,49.73034048080444,49.64719796180725,49.711930990219116,0.20868291266621283,1,0.0,0.01,0,0.9520804081549554,0.01,0,0.9520804081549554,0.01,0,0.9520804081549554
5,graph5.gml,41.54885649681091,41.54204988479614,41.78407311439514,41.698606967926025,0.00775475362041875,0,0.27631511939014153,0.00775475362041875,0,0.27631511939014153,0.010715649626234723,1,0.0,0.00775475362041875,0,0.27631511939014153
6,graph6.gml,52.74630808830261,52.256125926971436,52.1218957901001,51.997119665145874,0.01,1,0.0,0.01,0,0.0,0.01,0,0.0,0.01,0,0.0
7,graph7.gml,45.00126028060913,44.23030400276184,44.4077889919281,44.088802337646484,0.7388552519091239,1,0.0,0.03779920724955425,0,0.9488408492030271,0.03779920724955425,0,0.9488408492030271,0.01,0,0.9864655492748261
8,graph8.gml,58.89202666282654,57.24187421798706,56.939589977264404,57.35181140899658,0.6983158158816523,1,0.0,0.03514798266503978,0,0.9496674973333318,0.017961973091435563,0,0.97427815225872,0.03514798266503978,0,0.9496674973333318
9,graph9.gml,41.27272987365723,41.44581747055054,41.20074820518494,41.47747588157654,0.4794946508547356,1,0.0,0.0021490813526517465,0,0.9955180285143519,0.01,0,0.979144709993794,0.01,0,0.979144709993794
10,graph10.gml,53.98917770385742,53.42202353477478,52.94541788101196,53.54517936706543,0.23372046189088072,1,0.0,0.01,0,0.9572138446112227,0.01,0,0.9572138446112227,0.01,0,0.9572138446112227
11,graph11.gml,47.788861989974976,48.04155206680298,48.716217041015625,48.03314280509949,0.01,1,0.0,0.01,0,0.0,0.01,0,0.0,0.01,0,0.0
12,graph12.gml,32.50312519073486,33.02888536453247,33.06864309310913,33.37115120887756,0.4844204985544459,1,0.0,0.4844204985544459,0,0.0,0.031977376629402726,0,0.9339883908199054,0.03352478695034907,0,0.9307940373076903
13,graph13.gml,40.20996308326721,40.09644269943237,40.329052686691284,40.375510692596436,0.6577632046853872,1,0.0,0.07193480792376662,0,0.8906372271793866,0.07193480792376662,0,0.8906372271793866,0.07193480792376662,0,0.8906372271793866
14,graph14.gml,49.84057879447937,48.92161178588867,48.49006009101868,48.84583878517151,0.052780470702856935,1,0.0,0.052780470702856935,0,0.0,0.03486333725672963,0,0.33946520763327476,0.03486333725672963,0,0.33946520763327476
