Algorithm;AVG. Modularity;AVG. Time (s);#Best;% Dev;;Algorithm;AVG. Modularity;AVG. Time (s);#Best;% Dev;;;;;;;;;;;;;;;;;;;;;;;
ACO 0.25;0.5821875;1.724457598; 4 ;11.62%;;ACO alpha = beta;0.5821875;1.724457598; 4 ;11.62%;;;;;;;;;;;;;;;;;;;;;;;
ACO 0.5;0.569625;1.670524979; 3 ;12.41%;;ACO alpha > beta;0.569625;1.670524979; 3 ;12.41%;;;;;;;;;;;;;;;;;;;;;;;
ACO 0.75;0.5721875;1.66176455; 3 ;12.05%;;ACO alpha < beta;0.5721875;1.66176455; 3 ;12.05%;;;;;;;;;;;;;;;;;;;;;;;
ACO RND;0.5216875;1.669082808; -   ;19%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;ACO 0.25;;;;ACO 0.5;;;;ACO 0.75;;;;ACO RND;;;;;;;;ACO alpha = beta;;;;ACO alpha > beta;;;;ACO alpha < beta;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Column1;Instancia;Modularidad1;Time1;Best1;Dev1;Modularidad2;Time2;Best2;Dev2;Modularidad3;Time3;Best3;Dev3;Modularidad4;Time4;Best4;Dev4;;;Column1;Instancia;Modularidad5;Time5;Best5;Dev5;Modularidad6;Time6;Best6;Dev6;Modularidad7;Time7;Best7;Dev7
0;graph0.gml;0.574375;1.83903861;0;0.08008008;0.624375;1.651694775;1;0;0.5;1.628623724;0;0.199199199;0.474375;1.634555578;0;0.24024024;;;0;graph0.gml;0.524375;1.629478455;0;0.16016016;0.624375;1.600106955;1;0;0.5;1.602727413;0;0.199199199
1;graph1.gml;0.5;1.681171179;0;0.258572753;0.674375;1.630718708;1;0;0.5;1.6040833;0;0.258572753;0.5;1.622530222;0;0.258572753;;;1;graph1.gml;0.5;1.625526667;0;0.166666667;0.6;1.613842249;1;0;0.5;1.620205879;0;0.166666667
2;graph2.gml;0.65;1.693959951;1;0;0.624375;1.645284891;0;0.039423077;0.624375;1.642938375;0;0.039423077;0.5;1.660251856;0;0.230769231;;;2;graph2.gml;0.5;1.681798935;0;0.199199199;0.624375;1.664539099;1;0;0.45;1.654270887;0;0.279279279
3;graph3.gml;0.5;1.688867092;0;0.393479909;0.5;1.767338991;0;0.393479909;0.824375;1.772584677;1;0;0.5;1.67425561;0;0.393479909;;;3;graph3.gml;0.5;1.668442965;0;5.55E-16;0.4975;1.668209076;0;0.005;0.5;1.668990135;0;0
4;graph4.gml;0.5;1.71151185;0;2.22E-16;0.5;1.682044983;1;0;0.5;1.655068159;0;2.22E-16;0.49875;1.690447569;0;0.0025;;;4;graph4.gml;0.674375;1.676028013;1;0;0.5;1.691720247;0;0.258572753;0.5;1.674412966;0;0.258572753
5;graph5.gml;0.574375;1.731835842;1;0;0.524375;1.6836164;0;0.087051143;0.474375;1.674561501;0;0.174102285;0.474375;1.691586733;0;0.174102285;;;5;graph5.gml;0.5;1.669950485;0;0.129488575;0.574375;1.661810875;1;0;0.5;1.683628559;0;0.129488575
6;graph6.gml;0.55;1.737138748;1;0;0.474375;1.677365541;0;0.1375;0.524375;1.672451496;0;0.046590909;0.524375;1.692721844;0;0.046590909;;;6;graph6.gml;0.524375;1.677563429;0;0.046590909;0.55;1.676513195;1;0;0.474375;1.663794041;0;0.1375
7;graph7.gml;0.524375;1.7024014;0;0.16016016;0.5;1.651592255;0;0.199199199;0.624375;1.659651518;1;0;0.5975;1.688318253;0;0.043043043;;;7;graph7.gml;0.5;1.667354107;1;0;0.474375;1.660434723;0;0.05125;0.471875;1.663876534;0;0.05625
8;graph8.gml;0.474375;1.703916788;0;0.270192308;0.6;1.652315855;0;0.076923077;0.65;1.637799263;1;0;0.59875;1.649572372;0;0.078846154;;;8;graph8.gml;0.55;1.633084059;0;0.1522158;0.5;1.638768911;0;0.229287091;0.64875;1.662974596;1;0
9;graph9.gml;0.974375;1.754734516;1;0;0.674375;1.663277388;0;0.307889673;0.5;1.66988349;0;0.486850545;0.54875;1.686588049;0;0.436818473;;;9;graph9.gml;0.5;1.674969196;0;0.046483909;0.524375;1.680719137;1;0;0.5;1.680182934;0;0.046483909
